[2022-01-25 20:39:54.730] <gnugo>   (out) : = 
[2022-01-25 20:39:54.730] <gnugo>   (out) : 
[2022-01-25 20:39:54.736] <gnugo>    (in) : genmove W
[2022-01-25 20:39:54.855] <gnugo>   (out) : = F4
[2022-01-25 20:39:54.855] <gnugo>   (out) : 
[2022-01-25 20:39:56.349] <gnugo>    (in) : play B E5
[2022-01-25 20:39:56.360] <gnugo>   (out) : = 
[2022-01-25 20:39:56.361] <gnugo>   (out) : 
[2022-01-25 20:39:56.366] <gnugo>    (in) : genmove W
[2022-01-25 20:39:56.514] <gnugo>   (out) : = D3
[2022-01-25 20:39:56.514] <gnugo>   (out) : 
[2022-01-25 20:39:58.851] <gnugo>    (in) : play B F5
[2022-01-25 20:39:58.860] <gnugo>   (out) : = 
[2022-01-25 20:39:58.861] <gnugo>   (out) : 
[2022-01-25 20:39:58.867] <gnugo>    (in) : genmove W
[2022-01-25 20:39:58.994] <gnugo>   (out) : = C4
[2022-01-25 20:39:58.994] <gnugo>   (out) : 
[2022-01-25 20:40:01.015] <gnugo>    (in) : play B D4
[2022-01-25 20:40:01.022] <gnugo>   (out) : = 
[2022-01-25 20:40:01.022] <gnugo>   (out) : 
[2022-01-25 20:40:01.025] <gnugo>    (in) : genmove W
[2022-01-25 20:40:01.261] <gnugo>   (out) : = B4
[2022-01-25 20:40:01.261] <gnugo>   (out) : 
[2022-01-25 20:40:02.782] <gnugo>    (in) : play B B5
[2022-01-25 20:40:02.790] <gnugo>   (out) : = 
[2022-01-25 20:40:02.791] <gnugo>   (out) : 
[2022-01-25 20:40:02.795] <gnugo>    (in) : genmove W
[2022-01-25 20:40:02.851] <gnugo>   (out) : = F3
[2022-01-25 20:40:02.851] <gnugo>   (out) : 
[2022-01-25 20:40:05.683] <gnugo>    (in) : play B C3
[2022-01-25 20:40:05.693] <gnugo>   (out) : = 
[2022-01-25 20:40:05.693] <gnugo>   (out) : 
[2022-01-25 20:40:05.698] <gnugo>    (in) : genmove W
[2022-01-25 20:40:05.851] <gnugo>   (out) : = B3
[2022-01-25 20:40:05.851] <gnugo>   (out) : 
[2022-01-25 20:40:07.018] <gnugo>    (in) : play B C2
[2022-01-25 20:40:07.024] <gnugo>   (out) : = 
[2022-01-25 20:40:07.024] <gnugo>   (out) : 
[2022-01-25 20:40:07.026] <gnugo>    (in) : genmove W
[2022-01-25 20:40:07.124] <gnugo>   (out) : = B2
[2022-01-25 20:40:07.124] <gnugo>   (out) : 
[2022-01-25 20:40:15.717] <gnugo>    (in) : play B D2
[2022-01-25 20:40:15.726] <gnugo>   (out) : = 
[2022-01-25 20:40:15.727] <gnugo>   (out) : 
[2022-01-25 20:40:15.732] <gnugo>    (in) : genmove W
[2022-01-25 20:40:15.784] <gnugo>   (out) : = B1
[2022-01-25 20:40:15.785] <gnugo>   (out) : 
[2022-01-25 20:40:26.719] <gnugo>    (in) : play B F2
[2022-01-25 20:40:26.729] <gnugo>   (out) : = 
[2022-01-25 20:40:26.729] <gnugo>   (out) : 
[2022-01-25 20:40:26.734] <gnugo>    (in) : genmove W
[2022-01-25 20:40:26.783] <gnugo>   (out) : = E2
[2022-01-25 20:40:26.783] <gnugo>   (out) : 
[2022-01-25 20:40:27.751] <gnugo>    (in) : play B E1
[2022-01-25 20:40:27.761] <gnugo>   (out) : = 
[2022-01-25 20:40:27.761] <gnugo>   (out) : 
[2022-01-25 20:40:27.767] <gnugo>    (in) : genmove W
[2022-01-25 20:40:27.826] <gnugo>   (out) : = G2
[2022-01-25 20:40:27.826] <gnugo>   (out) : 
[2022-01-25 20:40:29.849] <gnugo>    (in) : play B G4
[2022-01-25 20:40:29.861] <gnugo>   (out) : = 
[2022-01-25 20:40:29.862] <gnugo>   (out) : 
[2022-01-25 20:40:29.866] <gnugo>    (in) : genmove W
[2022-01-25 20:40:29.893] <gnugo>   (out) : = F1
[2022-01-25 20:40:29.893] <gnugo>   (out) : 
[2022-01-25 20:40:34.683] <gnugo>    (in) : play B G5
[2022-01-25 20:40:34.695] <gnugo>   (out) : = 
[2022-01-25 20:40:34.696] <gnugo>   (out) : 
[2022-01-25 20:40:34.700] <gnugo>    (in) : genmove W
[2022-01-25 20:40:34.713] <gnugo>   (out) : = A5
[2022-01-25 20:40:34.714] <gnugo>   (out) : 
[2022-01-25 20:40:36.614] <gnugo>    (in) : play B A6
[2022-01-25 20:40:36.626] <gnugo>   (out) : = 
[2022-01-25 20:40:36.626] <gnugo>   (out) : 
[2022-01-25 20:40:36.631] <gnugo>    (in) : genmove W
[2022-01-25 20:40:36.648] <gnugo>   (out) : = A4
[2022-01-25 20:40:36.648] <gnugo>   (out) : 
[2022-01-25 20:40:38.583] <gnugo>    (in) : play B G3
[2022-01-25 20:40:38.594] <gnugo>   (out) : = 
[2022-01-25 20:40:38.595] <gnugo>   (out) : 
[2022-01-25 20:40:38.599] <gnugo>    (in) : genmove W
[2022-01-25 20:40:38.623] <gnugo>   (out) : = D1
[2022-01-25 20:40:38.624] <gnugo>   (out) : 
[2022-01-25 20:40:44.516] <gnugo>    (in) : play B B6
[2022-01-25 20:40:44.524] <gnugo>   (out) : = 
[2022-01-25 20:40:44.524] <gnugo>   (out) : 
[2022-01-25 20:40:44.529] <gnugo>    (in) : genmove W
[2022-01-25 20:40:44.534] <gnugo>   (out) : = PASS
[2022-01-25 20:40:44.534] <gnugo>   (out) : 
[2022-01-25 20:41:24.647] <gnugo>    (in) : clear_board
[2022-01-25 20:41:24.648] <gnugo>    (in) : play B D4
[2022-01-25 20:41:24.655] <gnugo>   (out) : = 
[2022-01-25 20:41:24.656] <gnugo>   (out) : 
[2022-01-25 20:41:24.656] <gnugo>   (out) : = 
[2022-01-25 20:41:24.656] <gnugo>   (out) : 
[2022-01-25 20:41:24.661] <gnugo>    (in) : genmove W
[2022-01-25 20:41:24.665] <gnugo>   (out) : = C5
[2022-01-25 20:41:24.666] <gnugo>   (out) : 
[2022-01-25 20:41:26.647] <gnugo>    (in) : play B D5
[2022-01-25 20:41:26.658] <gnugo>   (out) : = 
[2022-01-25 20:41:26.659] <gnugo>   (out) : 
[2022-01-25 20:41:26.664] <gnugo>    (in) : genmove W
[2022-01-25 20:41:26.740] <gnugo>   (out) : = C4
[2022-01-25 20:41:26.741] <gnugo>   (out) : 
[2022-01-25 20:41:28.178] <gnugo>    (in) : play B C3
[2022-01-25 20:41:28.187] <gnugo>   (out) : = 
[2022-01-25 20:41:28.187] <gnugo>   (out) : 
[2022-01-25 20:41:28.192] <gnugo>    (in) : genmove W
[2022-01-25 20:41:28.338] <gnugo>   (out) : = B3
